"ID","t","Age"
"Sim-Animal-Ind-25",100,"!"
"Sim-Animal-Ind-26",10,"!"
"Sim-Animal-Ind-26",20,"!"
"Sim-Animal-Ind-26",30,"A4"
"Sim-Animal-Ind-26",40,"!"
"Sim-Animal-Ind-26",50,"!"
"Sim-Animal-Ind-26",60,"!"
"Sim-Animal-Ind-26",70,"!"
"Sim-Animal-Ind-26",80,"!"
"Sim-Animal-Ind-26",90,"!"
"Sim-Animal-Ind-26",100,"!"
"Sim-Animal-Ind-27",10,"!"
"Sim-Animal-Ind-27",20,"!"
"Sim-Animal-Ind-27",30,"A4"
"Sim-Animal-Ind-27",40,"!"
"Sim-Animal-Ind-27",50,"!"
"Sim-Animal-Ind-27",60,"!"
"Sim-Animal-Ind-27",70,"!"
"Sim-Animal-Ind-27",80,"!"
"Sim-Animal-Ind-27",90,"!"
"Sim-Animal-Ind-27",100,"!"
"Sim-Animal-Ind-28",10,"!"
"Sim-Animal-Ind-28",20,"!"
"Sim-Animal-Ind-28",30,"!"
"Sim-Animal-Ind-28",40,"!"
"Sim-Animal-Ind-28",50,"!"
"Sim-Animal-Ind-28",60,"!"
"Sim-Animal-Ind-28",70,"!"
"Sim-Animal-Ind-28",80,"!"
"Sim-Animal-Ind-28",90,"!"
"Sim-Animal-Ind-28",100,"!"
"Sim-Animal-Ind-29",10,"!"
"Sim-Animal-Ind-29",20,"!"
"Sim-Animal-Ind-29",30,"A4"
"Sim-Animal-Ind-29",40,"!"
"Sim-Animal-Ind-29",50,"!"
"Sim-Animal-Ind-29",60,"!"
"Sim-Animal-Ind-29",70,"!"
"Sim-Animal-Ind-29",80,"!"
"Sim-Animal-Ind-29",90,"!"
"Sim-Animal-Ind-29",100,"!"
"Sim-Animal-Ind-30",10,"!"
"Sim-Animal-Ind-30",20,"!"
"Sim-Animal-Ind-30",30,"A4"
"Sim-Animal-Ind-30",40,"A10+"
"Sim-Animal-Ind-30",50,"A10+"
"Sim-Animal-Ind-30",60,"!"
"Sim-Animal-Ind-30",70,"!"
"Sim-Animal-Ind-30",80,"!"
"Sim-Animal-Ind-30",90,"!"
"Sim-Animal-Ind-30",100,"!"
"Sim-Animal-Ind-31",10,"!"
"Sim-Animal-Ind-31",20,"!"
"Sim-Animal-Ind-31",30,"A4"
"Sim-Animal-Ind-31",40,"A10+"
"Sim-Animal-Ind-31",50,"A10+"
"Sim-Animal-Ind-31",60,"!"
"Sim-Animal-Ind-31",70,"!"
"Sim-Animal-Ind-31",80,"!"
"Sim-Animal-Ind-31",90,"!"
"Sim-Animal-Ind-31",100,"!"
"Sim-Animal-Ind-32",10,"!"
"Sim-Animal-Ind-32",20,"!"
"Sim-Animal-Ind-32",30,"A4"
"Sim-Animal-Ind-32",40,"!"
"Sim-Animal-Ind-32",50,"!"
"Sim-Animal-Ind-32",60,"!"
"Sim-Animal-Ind-32",70,"!"
"Sim-Animal-Ind-32",80,"!"
"Sim-Animal-Ind-32",90,"!"
"Sim-Animal-Ind-32",100,"!"
"Sim-Animal-Ind-33",10,"!"
"Sim-Animal-Ind-33",20,"!"
"Sim-Animal-Ind-33",30,"A4"
"Sim-Animal-Ind-33",40,"A10+"
"Sim-Animal-Ind-33",50,"!"
"Sim-Animal-Ind-33",60,"!"
"Sim-Animal-Ind-33",70,"!"
"Sim-Animal-Ind-33",80,"!"
"Sim-Animal-Ind-33",90,"!"
"Sim-Animal-Ind-33",100,"!"
"Sim-Animal-Ind-34",10,"!"
"Sim-Animal-Ind-34",20,"!"
"Sim-Animal-Ind-34",30,"!"
"Sim-Animal-Ind-34",40,"!"
"Sim-Animal-Ind-34",50,"!"
"Sim-Animal-Ind-34",60,"!"
"Sim-Animal-Ind-34",70,"!"
"Sim-Animal-Ind-34",80,"!"
"Sim-Animal-Ind-34",90,"!"
"Sim-Animal-Ind-34",100,"!"
"Sim-Animal-Ind-35",10,"!"
"Sim-Animal-Ind-35",20,"!"
"Sim-Animal-Ind-35",30,"A4"
"Sim-Animal-Ind-35",40,"A10+"
"Sim-Animal-Ind-35",50,"A10+"
"Sim-Animal-Ind-35",60,"A10+"
"Sim-Animal-Ind-35",70,"!"
"Sim-Animal-Ind-35",80,"!"
"Sim-Animal-Ind-35",90,"!"
"Sim-Animal-Ind-35",100,"!"
"Sim-Animal-Ind-36",10,"!"
"Sim-Animal-Ind-36",20,"!"
"Sim-Animal-Ind-36",30,"A4"
"Sim-Animal-Ind-36",40,"!"
"Sim-Animal-Ind-36",50,"!"
"Sim-Animal-Ind-36",60,"!"
"Sim-Animal-Ind-36",70,"!"
"Sim-Animal-Ind-36",80,"!"
"Sim-Animal-Ind-36",90,"!"
"Sim-Animal-Ind-36",100,"!"
"Sim-Animal-Ind-37",10,"!"
"Sim-Animal-Ind-37",20,"!"
"Sim-Animal-Ind-37",30,"A4"
"Sim-Animal-Ind-37",40,"A10+"
"Sim-Animal-Ind-37",50,"!"
"Sim-Animal-Ind-37",60,"!"
"Sim-Animal-Ind-37",70,"!"
"Sim-Animal-Ind-37",80,"!"
"Sim-Animal-Ind-37",90,"!"
"Sim-Animal-Ind-37",100,"!"
"Sim-Animal-Ind-38",10,"!"
"Sim-Animal-Ind-38",20,"!"
"Sim-Animal-Ind-38",30,"!"
"Sim-Animal-Ind-38",40,"!"
"Sim-Animal-Ind-38",50,"!"
"Sim-Animal-Ind-38",60,"!"
"Sim-Animal-Ind-38",70,"!"
"Sim-Animal-Ind-38",80,"!"
"Sim-Animal-Ind-38",90,"!"
"Sim-Animal-Ind-38",100,"!"
"Sim-Animal-Ind-39",10,"!"
"Sim-Animal-Ind-39",20,"!"
"Sim-Animal-Ind-39",30,"A4"
"Sim-Animal-Ind-39",40,"A10+"
"Sim-Animal-Ind-39",50,"!"
"Sim-Animal-Ind-39",60,"!"
"Sim-Animal-Ind-39",70,"!"
"Sim-Animal-Ind-39",80,"!"
"Sim-Animal-Ind-39",90,"!"
"Sim-Animal-Ind-39",100,"!"
"Sim-Animal-Ind-40",10,"!"
"Sim-Animal-Ind-40",20,"!"
"Sim-Animal-Ind-40",30,"!"
"Sim-Animal-Ind-40",40,"!"
"Sim-Animal-Ind-40",50,"!"
"Sim-Animal-Ind-40",60,"!"
"Sim-Animal-Ind-40",70,"!"
"Sim-Animal-Ind-40",80,"!"
"Sim-Animal-Ind-40",90,"!"
"Sim-Animal-Ind-40",100,"!"
"Sim-Animal-Ind-41",10,"!"
"Sim-Animal-Ind-41",20,"!"
"Sim-Animal-Ind-41",30,"A4"
"Sim-Animal-Ind-41",40,"A10+"
"Sim-Animal-Ind-41",50,"!"
"Sim-Animal-Ind-41",60,"!"
"Sim-Animal-Ind-41",70,"!"
"Sim-Animal-Ind-41",80,"!"
"Sim-Animal-Ind-41",90,"!"
"Sim-Animal-Ind-41",100,"!"
"Sim-Animal-Ind-42",10,"!"
