ID,t,DS
Ind. 47,40,Sa
Ind. 47,50,Sa
Ind. 47,60,Sa
Ind. 47,70,Sa
Ind. 47,80,Sa
Ind. 47,90,Sa
Ind. 47,100,Sa
Ind. 48,10,Sa
Ind. 48,20,Sa
Ind. 48,30,Sa
Ind. 48,40,Sa
Ind. 48,50,Sa
Ind. 48,60,Sa
Ind. 48,70,Sa
Ind. 48,80,Sa
Ind. 48,90,Sa
Ind. 48,100,Sa
Ind. 49,10,Sa
Ind. 49,20,Sa
Ind. 49,30,Sa
Ind. 49,40,Sa
Ind. 49,50,R
Ind. 49,60,R
Ind. 49,70,R
Ind. 49,80,R
Ind. 49,90,R
Ind. 49,100,R
Ind. 50,10,Sa
Ind. 50,20,Sa
Ind. 50,30,Sa
Ind. 50,40,Sa
Ind. 50,50,Sa
Ind. 50,60,Sa
Ind. 50,70,Sa
Ind. 50,80,Sa
Ind. 50,90,Sa
Ind. 50,100,Sa
Ind. 51,10,Sa
Ind. 51,20,Sa
Ind. 51,30,Sa
Ind. 51,40,Sa
Ind. 51,50,Sa
Ind. 51,60,Sa
Ind. 51,70,Sa
Ind. 51,80,Sa
Ind. 51,90,Sa
Ind. 51,100,Sa
Ind. 52,10,Sa
Ind. 52,20,Sa
Ind. 52,30,Sa
Ind. 52,40,Sa
Ind. 52,50,Sa
Ind. 52,60,I
Ind. 52,70,I
Ind. 52,80,I
Ind. 52,90,I
Ind. 52,100,R
Ind. 53,10,Sa
Ind. 53,20,Sa
Ind. 53,30,Sa
Ind. 53,40,Sa
Ind. 53,50,Sa
Ind. 53,60,Sa
Ind. 53,70,Sa
Ind. 53,80,I
Ind. 53,90,I
Ind. 53,100,I
Ind. 54,10,Sa
Ind. 54,20,Sa
Ind. 54,30,Sa
Ind. 54,40,Sa
Ind. 54,50,Sa
Ind. 54,60,Sa
Ind. 54,70,Sa
Ind. 54,80,Sa
Ind. 54,90,R
Ind. 54,100,R
Ind. 55,10,Sa
Ind. 55,20,Sa
Ind. 55,30,Sa
Ind. 55,40,Sa
Ind. 55,50,Sa
Ind. 55,60,Sa
Ind. 55,70,Sa
Ind. 55,80,Sa
Ind. 55,90,I
Ind. 55,100,I
Ind. 56,10,Sa
Ind. 56,20,Sa
Ind. 56,30,Sa
Ind. 56,40,I
Ind. 56,50,I
Ind. 56,60,R
Ind. 56,70,R
Ind. 56,80,R
Ind. 56,90,R
