"ID","t","DS"
"Ind. 60",90,"Ia"
"Ind. 60",100,"Ia"
"Ind. 61",10,"Sa"
"Ind. 61",20,"Sa"
"Ind. 61",30,"Sa"
"Ind. 61",40,"Sa"
"Ind. 61",50,"Sa"
"Ind. 61",60,"Sa"
"Ind. 61",70,"Sa"
"Ind. 61",80,"Sa"
"Ind. 61",90,"R"
"Ind. 61",100,"R"
"Ind. 62",10,"Sa"
"Ind. 62",20,"Sa"
"Ind. 62",30,"Sa"
"Ind. 62",40,"Sa"
"Ind. 62",50,"Sa"
"Ind. 62",60,"Ia"
"Ind. 62",70,"R"
"Ind. 62",80,"R"
"Ind. 62",90,"R"
"Ind. 62",100,"R"
"Ind. 63",10,"Sa"
"Ind. 63",20,"Sa"
"Ind. 63",30,"Sa"
"Ind. 63",40,"Sa"
"Ind. 63",50,"Sa"
"Ind. 63",60,"Ia"
"Ind. 63",70,"R"
"Ind. 63",80,"R"
"Ind. 63",90,"R"
"Ind. 63",100,"R"
"Ind. 64",10,"Sa"
"Ind. 64",20,"Sa"
"Ind. 64",30,"Sa"
"Ind. 64",40,"Sa"
"Ind. 64",50,"Sa"
"Ind. 64",60,"Sa"
"Ind. 64",70,"Sa"
"Ind. 64",80,"Ia"
"Ind. 64",90,"Ia"
"Ind. 64",100,"Ia"
"Ind. 65",10,"Sa"
"Ind. 65",20,"Sa"
"Ind. 65",30,"Sa"
"Ind. 65",40,"Sa"
"Ind. 65",50,"Sa"
"Ind. 65",60,"Sa"
"Ind. 65",70,"Ia"
"Ind. 65",80,"R"
"Ind. 65",90,"R"
"Ind. 65",100,"R"
"Ind. 66",10,"Sa"
"Ind. 66",20,"Sa"
"Ind. 66",30,"Sa"
"Ind. 66",40,"Sa"
"Ind. 66",50,"Sa"
"Ind. 66",60,"Sa"
"Ind. 66",70,"Sa"
"Ind. 66",80,"Ia"
"Ind. 66",90,"R"
"Ind. 66",100,"R"
"Ind. 67",10,"Sa"
"Ind. 67",20,"Sa"
"Ind. 67",30,"Sa"
"Ind. 67",40,"Sa"
"Ind. 67",50,"Sa"
"Ind. 67",60,"Sa"
"Ind. 67",70,"Sa"
