"ID","t","DS"
"Sim-People-Ind-49",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-49",40,"R:0.9|I:0.1"
"Sim-People-Ind-49",60,"R:0.9|I:0.1"
"Sim-People-Ind-49",80,"R:0.9|I:0.1"
"Sim-People-Ind-49",100,"R:0.9|I:0.1"
"Sim-People-Ind-50",20,"R:0.9|I:0.1"
"Sim-People-Ind-50",40,"R:0.9|I:0.1"
"Sim-People-Ind-50",60,"R:0.9|I:0.1"
"Sim-People-Ind-50",80,"R:0.9|I:0.1"
"Sim-People-Ind-50",100,"R:0.9|I:0.1"
"Sim-People-Ind-51",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-51",40,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-51",60,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-51",80,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-51",100,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-52",20,"R:0.9|I:0.1"
"Sim-People-Ind-52",40,"R:0.9|I:0.1"
"Sim-People-Ind-52",60,"R:0.9|I:0.1"
"Sim-People-Ind-52",80,"R:0.9|I:0.1"
"Sim-People-Ind-52",100,"R:0.9|I:0.1"
"Sim-People-Ind-53",20,"I:0.9|S:0.1"
"Sim-People-Ind-53",40,"I:0.9|S:0.1"
"Sim-People-Ind-53",60,"R:0.9|I:0.1"
"Sim-People-Ind-53",80,"R:0.9|I:0.1"
"Sim-People-Ind-53",100,"R:0.9|I:0.1"
"Sim-People-Ind-54",20,"R:0.9|I:0.1"
"Sim-People-Ind-54",40,"R:0.9|I:0.1"
"Sim-People-Ind-54",60,"R:0.9|I:0.1"
"Sim-People-Ind-54",80,"R:0.9|I:0.1"
"Sim-People-Ind-54",100,"R:0.9|I:0.1"
"Sim-People-Ind-55",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-55",40,"R:0.9|I:0.1"
"Sim-People-Ind-55",60,"R:0.9|I:0.1"
"Sim-People-Ind-55",80,"R:0.9|I:0.1"
"Sim-People-Ind-55",100,"R:0.9|I:0.1"
"Sim-People-Ind-56",20,"I:0.9|S:0.1"
"Sim-People-Ind-56",40,"R:0.9|I:0.1"
"Sim-People-Ind-56",60,"R:0.9|I:0.1"
"Sim-People-Ind-56",80,"R:0.9|I:0.1"
"Sim-People-Ind-56",100,"R:0.9|I:0.1"
"Sim-People-Ind-57",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-57",40,"R:0.9|I:0.1"
"Sim-People-Ind-57",60,"R:0.9|I:0.1"
"Sim-People-Ind-57",80,"R:0.9|I:0.1"
"Sim-People-Ind-57",100,"R:0.9|I:0.1"
"Sim-People-Ind-58",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-58",40,"R:0.9|I:0.1"
"Sim-People-Ind-58",60,"R:0.9|I:0.1"
"Sim-People-Ind-58",80,"R:0.9|I:0.1"
"Sim-People-Ind-58",100,"R:0.9|I:0.1"
"Sim-People-Ind-59",20,"I:0.9|S:0.1"
"Sim-People-Ind-59",40,"R:0.9|I:0.1"
"Sim-People-Ind-59",60,"R:0.9|I:0.1"
