"l","l'",Value
"Aberdeenshire","Moray","0.0936973"
"Argyll-and-Bute","Moray","0.0171858"
"City-of-Edinburgh","Moray","0.00118281"
"Renfrewshire","Moray","0.00119513"
"West-Dunbartonshire","Moray","0.00143389"
"West-Lothian","Moray","0.00115075"
"Angus","Moray","0.0048807"
"Dundee-City","Moray","0.00279855"
"East-Dunbartonshire","Moray","0.000973143"
"Fife","Moray","0.0036135"
"Perth-and-Kinross","Moray","0.00309243"
"Glasgow-City","Moray","0.000825407"
"North-Lanarkshire","Moray","0.00072079"
"Clackmannanshire","North-Ayrshire","0.00359734"
"Dumfries-and-Galloway","North-Ayrshire","0.00812797"
"East-Ayrshire","North-Ayrshire","0.367999"
"East-Lothian","North-Ayrshire","0.00187343"
"East-Renfrewshire","North-Ayrshire","0.0709469"
"Na-h-Eileanan-Siar","North-Ayrshire","0.00130537"
"Falkirk","North-Ayrshire","0.00552376"
"Highland","North-Ayrshire","0.00116144"
"Inverclyde","North-Ayrshire","0.160575"
"Midlothian","North-Ayrshire","0.00176676"
"Moray","North-Ayrshire","0.000940075"
"North-Ayrshire","North-Ayrshire","5.84863"
"Orkney-Islands","North-Ayrshire","0.00106016"
"Scottish-Borders","North-Ayrshire","0.000714536"
"Shetland-Islands","North-Ayrshire","0.00124904"
"South-Ayrshire","North-Ayrshire","0.347646"
"South-Lanarkshire","North-Ayrshire","0.0269368"
"Stirling","North-Ayrshire","0.00640357"
"Aberdeen-City","North-Ayrshire","0.00237919"
"Aberdeenshire","North-Ayrshire","0.00153237"
"Argyll-and-Bute","North-Ayrshire","0.0180399"
"City-of-Edinburgh","North-Ayrshire","0.00222375"
"Renfrewshire","North-Ayrshire","0.147353"
"West-Dunbartonshire","North-Ayrshire","0.0356507"
"West-Lothian","North-Ayrshire","0.00399377"
"Angus","North-Ayrshire","0.00110003"
"Dundee-City","North-Ayrshire","0.000573499"
"East-Dunbartonshire","North-Ayrshire","0.0324599"
"Fife","North-Ayrshire","0.00138093"
"Perth-and-Kinross","North-Ayrshire","0.00156817"
"Glasgow-City","North-Ayrshire","0.0553396"
"North-Lanarkshire","North-Ayrshire","0.0171476"
"Clackmannanshire","Orkney-Islands","0.0000807"
"Dumfries-and-Galloway","Orkney-Islands","0.000625722"
"East-Ayrshire","Orkney-Islands","0.00116723"
"East-Lothian","Orkney-Islands","0.00103393"
"East-Renfrewshire","Orkney-Islands","0.00216519"
"Na-h-Eileanan-Siar","Orkney-Islands","0.0152312"
"Falkirk","Orkney-Islands","0.00156951"
"Highland","Orkney-Islands","0.0193053"
"Inverclyde","Orkney-Islands","0.000624197"
"Midlothian","Orkney-Islands","0.00120698"
"Moray","Orkney-Islands","0.0112146"
"North-Ayrshire","Orkney-Islands","0.00106016"
"Orkney-Islands","Orkney-Islands","45.9327"
"Scottish-Borders","Orkney-Islands","0.00090378"
"Shetland-Islands","Orkney-Islands","0.0395702"
"South-Ayrshire","Orkney-Islands","0.000860976"
"South-Lanarkshire","Orkney-Islands","0.000810209"
"Stirling","Orkney-Islands","0.00160392"
"Aberdeen-City","Orkney-Islands","0.0109743"
"Aberdeenshire","Orkney-Islands","0.00491034"
"Argyll-and-Bute","Orkney-Islands","0.0145324"
"City-of-Edinburgh","Orkney-Islands","0.00178784"
"Renfrewshire","Orkney-Islands","0.000624201"
"West-Dunbartonshire","Orkney-Islands","0.000140647"
"West-Lothian","Orkney-Islands","0.000133458"
"Angus","Orkney-Islands","0.00205998"
"Dundee-City","Orkney-Islands","0.000763863"
"East-Dunbartonshire","Orkney-Islands","0.000200171"
"Fife","Orkney-Islands","0.00075082"
"Perth-and-Kinross","Orkney-Islands","0.00126812"
"Glasgow-City","Orkney-Islands","0.000633124"
"North-Lanarkshire","Orkney-Islands","0.00102879"
"Clackmannanshire","Scottish-Borders","0.00322589"
"Dumfries-and-Galloway","Scottish-Borders","0.0114332"
"East-Ayrshire","Scottish-Borders","0.00110739"
"East-Lothian","Scottish-Borders","0.10861"
"East-Renfrewshire","Scottish-Borders","0.00181489"
"Na-h-Eileanan-Siar","Scottish-Borders","0.00101726"
"Falkirk","Scottish-Borders","0.00834688"
"Highland","Scottish-Borders","0.00094986"
"Inverclyde","Scottish-Borders","0.00100363"
"Midlothian","Scottish-Borders","0.139324"
"Moray","Scottish-Borders","0.000630126"
"North-Ayrshire","Scottish-Borders","0.000714536"
"Orkney-Islands","Scottish-Borders","0.00090378"
"Scottish-Borders","Scottish-Borders","8.12386"
"Shetland-Islands","Scottish-Borders","0.00117754"
"South-Ayrshire","Scottish-Borders","0.000851153"
"South-Lanarkshire","Scottish-Borders","0.0112934"
"Stirling","Scottish-Borders","0.005104"
"Aberdeen-City","Scottish-Borders","0.00132668"
"Aberdeenshire","Scottish-Borders","0.000594065"
"Argyll-and-Bute","Scottish-Borders","0.00176348"
"City-of-Edinburgh","Scottish-Borders","0.0710431"
"Renfrewshire","Scottish-Borders","0.00143419"
"West-Dunbartonshire","Scottish-Borders","0.000674194"
"West-Lothian","Scottish-Borders","0.0223185"
"Angus","Scottish-Borders","0.000599127"
"Dundee-City","Scottish-Borders","0.000694638"
"East-Dunbartonshire","Scottish-Borders","0.00171562"
"Fife","Scottish-Borders","0.0067095"
"Perth-and-Kinross","Scottish-Borders","0.0030538"
"Glasgow-City","Scottish-Borders","0.00185904"
"North-Lanarkshire","Scottish-Borders","0.0030178"
"Clackmannanshire","Shetland-Islands","0.00542168"
"Dumfries-and-Galloway","Shetland-Islands","0.00107044"
"East-Ayrshire","Shetland-Islands","0.0000954"
"East-Lothian","Shetland-Islands","0.000601025"
"East-Renfrewshire","Shetland-Islands","0.000539096"
"Na-h-Eileanan-Siar","Shetland-Islands","0.0116847"
"Falkirk","Shetland-Islands","0.00308864"
"Highland","Shetland-Islands","0.00707596"
"Inverclyde","Shetland-Islands","0.00391667"
"Midlothian","Shetland-Islands","0.000707837"
"Moray","Shetland-Islands","0.00164646"
"North-Ayrshire","Shetland-Islands","0.00124904"
"Orkney-Islands","Shetland-Islands","0.0395702"
"Scottish-Borders","Shetland-Islands","0.00117754"
"Shetland-Islands","Shetland-Islands","42.1001"
"South-Ayrshire","Shetland-Islands","0.00324543"
"South-Lanarkshire","Shetland-Islands","0.00161903"
"Stirling","Shetland-Islands","0.00138505"
"Aberdeen-City","Shetland-Islands","0.0250678"
"Aberdeenshire","Shetland-Islands","0.0197473"
"Argyll-and-Bute","Shetland-Islands","0.0013119"
"City-of-Edinburgh","Shetland-Islands","0.00144935"
"Renfrewshire","Shetland-Islands","0.00283423"
"West-Dunbartonshire","Shetland-Islands","0.0014434"
"West-Lothian","Shetland-Islands","0.00108587"
"Angus","Shetland-Islands","0.00338916"
"Dundee-City","Shetland-Islands","0.0010676"
"East-Dunbartonshire","Shetland-Islands","0.000861539"
"Fife","Shetland-Islands","0.00300339"
"Perth-and-Kinross","Shetland-Islands","0.00203512"
"Glasgow-City","Shetland-Islands","0.0016841"
"North-Lanarkshire","Shetland-Islands","0.00185421"
"Clackmannanshire","South-Ayrshire","0.00353005"
"Dumfries-and-Galloway","South-Ayrshire","0.0266522"
"East-Ayrshire","South-Ayrshire","0.672969"
"East-Lothian","South-Ayrshire","0.00134584"
"East-Renfrewshire","South-Ayrshire","0.0549456"
"Na-h-Eileanan-Siar","South-Ayrshire","0.00362611"
"Falkirk","South-Ayrshire","0.00412398"
"Highland","South-Ayrshire","0.000594805"
"Inverclyde","South-Ayrshire","0.0223221"
"Midlothian","South-Ayrshire","0.00210353"
"Moray","South-Ayrshire","0.00103274"
"North-Ayrshire","South-Ayrshire","0.347646"
"Orkney-Islands","South-Ayrshire","0.000860976"
"Scottish-Borders","South-Ayrshire","0.000851153"
"Shetland-Islands","South-Ayrshire","0.00324543"
"South-Ayrshire","South-Ayrshire","7.11869"
"South-Lanarkshire","South-Ayrshire","0.0253217"
"Stirling","South-Ayrshire","0.00538064"
"Aberdeen-City","South-Ayrshire","0.00143443"
"Aberdeenshire","South-Ayrshire","0.000815932"
"Argyll-and-Bute","South-Ayrshire","0.00550236"
"City-of-Edinburgh","South-Ayrshire","0.00249856"
"Renfrewshire","South-Ayrshire","0.0499342"
"West-Dunbartonshire","South-Ayrshire","0.0170002"
"West-Lothian","South-Ayrshire","0.00387074"
"Angus","South-Ayrshire","0.000598796"
"Dundee-City","South-Ayrshire","0.0005787"
"East-Dunbartonshire","South-Ayrshire","0.021612"
"Fife","South-Ayrshire","0.00131541"
"Perth-and-Kinross","South-Ayrshire","0.00154006"
"Glasgow-City","South-Ayrshire","0.0386233"
"North-Lanarkshire","South-Ayrshire","0.0147738"
"Clackmannanshire","South-Lanarkshire","0.0162461"
"Dumfries-and-Galloway","South-Lanarkshire","0.00739725"
"East-Ayrshire","South-Lanarkshire","0.0499092"
"East-Lothian","South-Lanarkshire","0.00839856"
"East-Renfrewshire","South-Lanarkshire","0.153357"
"Na-h-Eileanan-Siar","South-Lanarkshire","0.00186811"
"Falkirk","South-Lanarkshire","0.0278328"
"Highland","South-Lanarkshire","0.000904469"
"Inverclyde","South-Lanarkshire","0.0272062"
"Midlothian","South-Lanarkshire","0.0121366"
"Moray","South-Lanarkshire","0.00085063"
"North-Ayrshire","South-Lanarkshire","0.0269368"
"Orkney-Islands","South-Lanarkshire","0.000810209"
"Scottish-Borders","South-Lanarkshire","0.0112934"
"Shetland-Islands","South-Lanarkshire","0.00161903"
"South-Ayrshire","South-Lanarkshire","0.0253217"
"South-Lanarkshire","South-Lanarkshire","2.37103"
"Stirling","South-Lanarkshire","0.025574"
"Aberdeen-City","South-Lanarkshire","0.00174216"
"Aberdeenshire","South-Lanarkshire","0.000927162"
"Argyll-and-Bute","South-Lanarkshire","0.0120698"
"City-of-Edinburgh","South-Lanarkshire","0.0149137"
"Renfrewshire","South-Lanarkshire","0.0713483"
"West-Dunbartonshire","South-Lanarkshire","0.0468555"
"West-Lothian","South-Lanarkshire","0.0466244"
"Angus","South-Lanarkshire","0.000895841"
"Dundee-City","South-Lanarkshire","0.00100039"
"East-Dunbartonshire","South-Lanarkshire","0.0852673"
"Fife","South-Lanarkshire","0.0054966"
"Perth-and-Kinross","South-Lanarkshire","0.00452242"
"Glasgow-City","South-Lanarkshire","0.151027"
"North-Lanarkshire","South-Lanarkshire","0.234166"
"Clackmannanshire","Stirling","0.935537"
"Dumfries-and-Galloway","Stirling","0.00192304"
"East-Ayrshire","Stirling","0.00702765"
"East-Lothian","Stirling","0.0147474"
"East-Renfrewshire","Stirling","0.0262333"
"Na-h-Eileanan-Siar","Stirling","0.00141356"
"Falkirk","Stirling","0.438095"
"Highland","Stirling","0.00269501"
"Inverclyde","Stirling","0.0100511"
"Midlothian","Stirling","0.0181719"
"Moray","Stirling","0.00110182"
"North-Ayrshire","Stirling","0.00640357"
"Orkney-Islands","Stirling","0.00160392"
"Scottish-Borders","Stirling","0.005104"
"Shetland-Islands","Stirling","0.00138505"
"South-Ayrshire","Stirling","0.00538064"
"South-Lanarkshire","Stirling","0.025574"
"Stirling","Stirling","7.98688"
"Aberdeen-City","Stirling","0.00310815"
"Aberdeenshire","Stirling","0.00175132"
